snippet,headline__main,year_mo,compound,negative,neutral,positive
"As two theaters close, it will be harder for New Yorkers to see movies that reflect the human spirit.",Less Chance to Get Together in the Dark,201801,0.1779,0,0.914,0.086
The Israeli occupation doesn’t explain everything. The 82-year-old Palestinian president must take responsibility for failure.,It’s Time for Mahmoud Abbas to Go,201801,-0.5106,0.191,0.809,0
The weather’s been stormy at the White House.,"Trump Hits Alps, but Melania Is Frosty in Florida",201801,0,0,1,0
You can’t make a lasting bargain on immigration without a restrictionist at the table.,The Necessity of Stephen Miller,201801,0.2023,0,0.859,0.141
New technologies and tougher enforcement have put some of the worst offenders on notice.,"Amid the Plunder of Forests, a Ray of Hope",201801,-0.7096,0.342,0.57,0.088
"If partisan polarization continues to intensify, checks and balances will not save us.",How Wobbly Is Our Democracy?,201801,-0.3875,0.18,0.82,0
"Some big companies, to butter up President Trump, are talking up modest pay raises for workers. But most gains will go to executives and investors.","Are Corporate Tax Cuts Raising Pay? Yes, for Bosses",201801,0.3167,0.052,0.849,0.099
The doctor’s harrowing abuse of gymnasts fit a pattern among child molesters.,Larry Nassar Is a Familiar Monster,201801,-0.7096,0.413,0.447,0.14
Immigrants can fight ignorance and hate with works of culture.,We Need Protests. And Paintings.,201801,-0.8316,0.557,0.443,0
"President Trump plans an optimistic address promoting priorities like overhauls of infrastructure and immigration, but there are no guarantees when the president faces a television camera.",State of the Union Preview: Will Trump Stick to the Script?,201801,0.09,0.097,0.725,0.178
"I was asked to just call myself “human,” but that default is white.",Why Do You Say You’re Black?,201801,0,0,1,0
"Will humanity’s moment be a pencil-thin layer in some canyon of the far future, or an enduring epoch like the reign of dinosaurs?",Rambling Through Time,201801,0.3612,0,0.894,0.106
My doctor told me that feeling pain during recovery from surgery is normal. Why was I so resistant?,"After Surgery in Germany, I Wanted Vicodin, Not Herbal Tea",201801,-0.4215,0.167,0.758,0.076
"Three possible explanations from demography, history and psychology.",Why Is Hollywood So Liberal?,201801,0,0,1,0
"Doctors, counselors and a family member discuss treatment options and personal experience.",The Path Out of Opioid Addiction,201801,0,0,1,0
"The Times investigated the shadowy world of buying and selling social media followers. Here’s how the team untangled who was real, and who was a bot.",Faked: The Headquarters. The Followers. The Influence?,201801,0,0,1,0
"A theater that resisted government attempts to ban a black comedy about the Soviet era backed down, but the overt censorship has raised concerns in Russia.",Moscow Raid on Movie Theater Closes ‘The Death of Stalin’,201801,-0.128,0.088,0.805,0.107
Emily Cox and Henry Rathvon tempt us with delicious cryptic cluing.,Variety: Cryptic Crossword,201801,0.5719,0,0.73,0.27
A new image of Alaska from the recently launched Iceye satellite shows how much you can accomplish with a tiny satellite.,A Suitcase-Size Satellite’s Big Image of Frozen Earth Below,201801,0.5106,0,0.798,0.202
Everyone wants to be popular online. Some even pay for it. Inside social media’s black market.,The Follower Factory,201801,0.34,0.077,0.769,0.154
"A bomb placed inside an ambulance exploded on a busy Kabul street on Saturday, killing at least 95 people and injuring at least 158 others. The explosion comes a week after another attack shook the city.",A Deadly Blast in Kabul,201801,-0.9022,0.294,0.706,0
"Many Westerners who identify with the promise of a Kurdish state have joined the Y.P.G. militia, battling first the Islamic State and now Turkey.",Foreign Fighters Back Kurdish Militia in Syria in Fight Against Turkey,201801,0.0516,0.083,0.827,0.091
"The founders of make-believe Tabàrnia intend for it to send a serious message: That one declaration of independence could set off a cascading series of breakaway nations, to the point of absurdity.",Fake Country Carved From Catalonia Means to Mock Separatism,201801,-0.0772,0.043,0.957,0
"The Trump administration has removed protections for 200,000 Salvadorans who have been allowed to live here legally since 2001.",What Awaits Salvadoran Immigrants in Their Native Country?,201801,0.1027,0,0.928,0.072
"Lennu, a much-loved celebrity in Finland, is a Boston terrier with a lolling tongue whose master, the president, is up for re-election. But an illness has apparently kept Lennu off the campaign trail.",Finland’s Scene-Stealing First Dog Is Missed During Dull Election,201801,-0.4019,0.085,0.915,0
"Take a break from the usual chicken dinner, and make something special.",Our 10 Most Popular Chicken Recipes Right Now,201801,0.4019,0,0.787,0.213
A man asks what the law says about his right to be naked in his own home.,"If a Neighbor Can See You Naked, Do You Have to Cover Up?",201801,0,0,1,0
