snippet,headline__main,year_mo,compound,negative,neutral,positive
"SPRENGER--Paul. We cherished your sweetness, your kindness, your sense of humor, your ease and your devotion to your wife, Jane. We don't feel complete without you. Adios, Tocayo! Harriet and Paul Kittay 1/3","Paid Notice: Deaths SPRENGER, PAUL",201501,0.9468,0,0.608,0.392
"SCHNITTKE--Karl D.,66, a gifted writer/editor and resident of Atlanta died October 15. Born and raised in New York City, Karl was an inspiration to countless friends and spread good karma wherever he went. Beloved wife, Linda Rosenbaum 1/3","Paid Notice: Deaths SCHNITTKE, KARL D.",201501,0.8442,0.075,0.663,0.263
"EDWARDS--Dr. James B. The Board of Directors and staff of the Harry Frank Guggenheim Foundation deeply mourn the passing of longtime director, Dr. James B. Edwards. Governor Edwards was a devoted director serving the foundation for 35 years. He wa...","Paid Notice: Deaths EDWARDS, DR",201501,-0.101,0.072,0.865,0.063
"DEIN--Gittie Pfeffer. Dear sis, loved and remembered every day. Carol 1/3","Paid Notice: Memorials DEIN, GITTIE PFEFFER",201501,0.7579,0,0.581,0.419
"GROSS--Leonard, on December 30, 2014. Devoted father of Bonnie Otto and Peggy Gross, dear father-in-law of Cy Saez. Adored grandfather of Lisa and Nathaniel and great-grandfather of Jonah and Rachel. Cherished companion of Eileen Guptill. Service:...","Paid Notice: Deaths GROSS, LEONARD",201501,0.8074,0.068,0.681,0.251
"LITVAK--Sheila (Firestone). Devoted and adored wife of Harold for 55 years. Loving mother of Michael and Maria, Cassie, Lizabeth and Brad. The Fabulous Bubba to Liana, Anna and Lilly. Cherished sister to Tina. Sheila lived life to its fullest, alw...","Paid Notice: Deaths LITVAK, SHEILA (FIRESTONE)",201501,0.9442,0,0.685,0.315
"SCHEINMAN--Alan. Happy 70th Birthday. Miss your smile, humor & suntan. Your Loving Family, Roni, Phil, Greg, Kate, Sandy and Jarret 1/3","Paid Notice: Memorials SCHEINMAN, ALAN",201501,0.891,0.056,0.521,0.424
"Connecticut’s Daniel Hamilton missed three free-throw attempts with three seconds left, and Temple beat UConn, 57-53, in overtime.",Missed Free Throws Cost UConn,201501,-0.296,0.115,0.885,0
"Lampard will carry on playing for Manchester City throughout the Premier League season, delaying his arrival in M.L.S. for New York City F.C.",Frank Lampard’s Stay in England Is Extended,201501,0.2023,0,0.924,0.076
"Cincinnati acquired Byrd and cash from the Philadelphia Phillies for pitcher Ben Lively, the Reds’ minor league player of the year.",Phillies Send Marlon Byrd to Reds for Prospect,201501,0.4404,0,0.873,0.127
"Jagsheer Singh said the boy was injured in a fall, but a doctor said the infant’s injuries indicated “nonaccidental inflicted trauma” to the head.",Queens Man Is Charged With Murdering 4-Month-Old Son,201501,-0.2144,0.081,0.919,0
"Celebrations, with light shows, fireworks and even a camel ride, ushered in 2015.",The New Year Around the World,201501,0,0,1,0
"In a New Year’s speech, Kim Jong-un, North Korea’s leader, proclaimed he was open to a “big shift” toward improved relations with South Korea.",North Korean Leader Says He’s Open to Summit With South,201501,0.4767,0,0.871,0.129
"Ryan McDonagh, Chris Kreider and Martin St. Louis had a goal and an assist each as the Rangers beat the Panthers, and Frans Nielsen led the Islanders past the Jets.",Rangers Romp to End Strong December; Frans Nielsen’s 2 Goals Lead Isles,201501,0,0,1,0
President Yahya Jammeh returned to Gambia on Wednesday and accused dissidents backed by foreign powers of mounting an attack on the capital the day before.,Gambia: President Says Palace Attack Was Conducted by ‘Terrorist Groups’,201501,-0.6369,0.187,0.775,0.039
Stormy weather in the Adriatic Sea thwarted efforts on Wednesday to tow a damaged ferry to port in southern Italy.,Italy: Storm Impedes Effort to Tow Ferry and See if There Are More Victims,201501,-0.4588,0.19,0.81,0
"We must once again wrestle with the underlying, unresolved issues: police-community relations, functional bias in policing, disparities in use of force.",Look Back to Move Forward,201501,-0.1027,0.065,0.935,0
"The Italian Coast Guard rescued 970 migrants Wednesday after smugglers put their cargo ship on automatic pilot, heading straight for a crash into the Italian coast, and abandoned the command.",Italy: Hundreds of Migrants Rescued,201501,-0.5267,0.22,0.652,0.128
"The Ebola virus is still spreading in West Africa, especially in Sierra Leone, and the worldwide toll from the outbreak stood at 7,905 deaths among 20,206 known cases at year’s end, the World Health Organization said Wednesday.","Ebola Still Spreading, W.H.O. Reports",201501,0,0,1,0
"Julio Olmedo had a number of setbacks in his plan to find a job in the United States, but he’s now enrolled in college and wants to work in law enforcement.","After Several False Starts, Finding a Career Path",201501,0.2617,0,0.899,0.101
"At least 26 people were killed late Wednesday when their wedding party was struck by a rocket in Helmand Province, the Afghan police said.",Afghanistan: Many Are Killed When Rocket Hits Wedding Party,201501,-0.5859,0.223,0.685,0.092
"The family of Rolando Sarraff Trujillo has yet to hear from him, and there is suspicion that he is being extensively debriefed before the authorities move him back into society.",Whereabouts of U.S. Spy Released in Cuba Deal Are Unknown,201501,-0.3818,0.082,0.918,0
"Celebrations, with light shows, fireworks and even a camel ride, ushered in 2015.",The New Year Around the World,201501,0,0,1,0
A performance artist arrested Tuesday along with several dissidents and journalists after she sought to set up an open mike in Havana was back in custody on Wednesday.,Cuba Arrests Dissidents 2 Weeks After U.S. Accord,201501,-0.4767,0.107,0.893,0
"For what was probably the final time, Conrad Milster, Pratt’s longtime chief engineer, orchestrated a steam-whistle blowout on the school’s Brooklyn campus Wednesday night.","On Brooklyn Campus, Annual Antique Display Goes Out With a Terrifying Wail",201501,0,0,1,0
"Jay Ajayi ran for 134 yards and three touchdowns, and No. 21 Boise State made a late defensive stand to beat No. 12 Arizona, 38-30.","In Fiesta Bowl, Boise State Holds Off Arizona",201501,-0.5106,0.166,0.792,0.042
"At least 36 people died in the incident in the city’s famous Bund riverside area, where tens of thousands had gathered for New Year’s Eve celebrations.",Dozens Are Killed in Stampede in Shanghai,201501,-0.5574,0.126,0.874,0
Readers discuss an article examining the class of 1994 at Stanford.,Stanford Women and Silicon Valley,201501,0,0,1,0
A crackdown showed that Russia’s “white ribbon” movement has withered three years after it roared to life hoping to oust Vladimir V. Putin from power.,Anti-Putin Protest Fizzles as Police Sweep Square,201501,0.4215,0,0.891,0.109
