snippet,headline__main,year_mo,compound,negative,neutral,positive
"TETENBAUM--Herbert, whose boyhood bout with oseomyelitis, a bone-marrow infection that sent him to the hospital for multiple surgeries as a child and engendered within him a lifelong reverence for the practice of medicine, died December 29, 2013 i...","Paid Notice: Deaths  TETENBAUM, HERBERT",201401,-0.5574,0.096,0.904,0
"McENTEGART--Eileen, F.,84, passed away December 29, 2013, at her home in Katonah, NY. Born July 1, 1929, she graduated from The College of New Rochelle and earned an MBA from New York University. Her career began at M.W. Kellogg Company as a junio...","Paid Notice: Deaths  MCENTEGART, EILEEN, F.",201401,0,0,1,0
"CROUSE--Anna. The Board and Staff of Lincoln Center Theater are deeply saddened by the death of our beloved Anna Crouse. A longtime Director and an Honorary Trustee for many years, Anna was passionate about the Theater, particularly our theater. S...","Paid Notice: Deaths  CROUSE, ANNA",201401,0.3626,0.147,0.638,0.215
"WALDMAN--Paul, died on December 28, 2013 in Tarrytown, NY. He was born on January 8, 1931. He is survived by his wife of 40 years, Polly Waldman; his children, Billy Waldman and his wife Juliana Monteiro, Katie Madrigal and her husband Jose, Nick ...","Paid Notice: Deaths  WALDMAN, PAUL",201401,-0.0772,0.074,0.859,0.067
"ROSENBERG--William, 71, of East Brunswick, NJ passed away on December 30, 2013. He is survived by his wife Andrea, three children and eight grandchildren. Services will be held Thursday, January 2, 2014 at AEMT, New Bruns-wick, NJ at 11am.","Paid Notice: Deaths  ROSENBERG, WILLIAM",201401,0.5106,0,0.92,0.08
"SCHWARTZ--Florence Part, beloved mother of Edward, Susan and Steven, their spouses Judy, Jonathan and Jil, grandmother of Lisa, Samantha, Sarah and Benjamin, passed away on Friday December 27th. She was preceded in death by her dear husband Bernar...","Paid Notice: Deaths  SCHWARTZ, FLORENCE PART",201401,0.25,0.087,0.781,0.132
EGGERTH--Marta. We mourn the death of our dear friend Marta and will never forget her magnificent voice and the joy she brought to us and her multitude of fans. We extend our heartfelt condolences to Marjan Kiepura and his wife Jane. Robert J Camp...,"Paid Notice: Deaths  EGGERTH, MARTA",201401,0.6828,0.163,0.564,0.273
SNIDER--Barry. It's been a year since your death and I miss you everyday. Rest in peace my darling husband. Irma Sandrey,"Paid Notice: Memorials  SNIDER, BARRY",201401,0.4215,0.198,0.54,0.263
"BACCUS--Barbara ""Brett"", died peacefully on December 29, 2013 in New York City, at age 79 after a brief illness. She is survived by her partner Diane Friedman, her sister Marcia Johnson, her brother-in-law Jay Johnson, her nephew Bret Johnson, and...","Paid Notice: Deaths  BACCUS, BARBARA ""BRETT""",201401,0.1027,0.131,0.729,0.14
"SCHEINMAN--Alan. 1/1/45. Happy Birthday. Missing your smile, suntan, and sense of humor for 22 years. Your Loving Family","Paid Notice: Memorials  SCHEINMAN, ALAN",201401,0.875,0.08,0.474,0.445
"CROUSE--Anna. The Juilliard community mourns the death of Anna Crouse, a longtime member of the School's Board of Trustees. With intelligence, charm, and true determination, she was an important force in supporting the School's drama division over...","Paid Notice: Deaths  CROUSE, ANNA",201401,0.7906,0.141,0.523,0.335
"BASS--Susan, on December 29, 2013. 75 years old. Daughter of the late Harry and Yetta Wagonfeld. She was the beloved wife of Walter, who predeceased her in 2007. She is survived by her loving children Betty Dwoskin Sternlicht, Marjorie Knechtel an...","Paid Notice: Deaths  BASS, SUSAN",201401,0.8885,0,0.784,0.216
"CROUSE--Anna. We at Rodgers & Hammerstein mourn the death of Anna Crouse. She was smart and she was passionate - and was always appreciative of the work we do to keep the ""The Sound of Music"" performed the world over. Above all, she was an advocat...","Paid Notice: Deaths  CROUSE, ANNA",201401,0.4588,0.121,0.704,0.175
CROUSE--Anna. The Board of Trustees and staff of Theatre Development mourn the loss of our beloved Anna Crouse. Anna was an extraordinary individual whose impact on the theatre and its artists was huge. Among her many contributions to the field wa...,"Paid Notice: Deaths  CROUSE, ANNA",201401,0.2023,0.106,0.75,0.144
"Quotation of the Day for Wednesday, January 1, 2014","Quotation of the Day: Wednesday, January 1, 2014",201401,0,0,1,0
"Notable properties that have been recently listed for sale, sold or leased.",Recent Commercial Real Estate,201401,0,0,1,0
"At 40 shops across the state, residents and tourists flashed their identifications and took part in what supporters hailed as a historic departure from drug laws focused on punishment and prohibition.",Colorado Stores Selling Marijuana Open Their Doors,201401,0.4939,0.087,0.71,0.202
"Bill de Blasio claimed his place as mayor on Wednesday. On the steps of City Hall, he was ceremonially sworn in by former President Clinton.",The 109th Mayor of New York,201401,0,0,1,0
Two new picture books take cars as their inspiration for onomatopoetic fun and automobilic verse.,Freewheeling Fun,201401,0.7717,0,0.66,0.34
"The oath of office was administered by Eric T. Schneiderman, the attorney general of New York, in a brief ceremony inside the front yard of the mayor’s rowhouse in Park Slope, Brooklyn.",De Blasio Sworn In as New York Mayor,201401,0,0,1,0
Television highlights.,What’s on Wednesday,201401,0,0,1,0
"Johnny Manziel, playing in what may have been his final college game, passed for two touchdowns and ran for another in the second half to lead the Aggies to a win over Duke.","Down by 21 at Half, the Aggies Win",201401,0.6808,0,0.843,0.157
"A farmer at my market recently was selling huge, sturdy bunches of Swiss chard, the kind I used to cook with in France, with wide ribs and heavy leaves. One bunch weighed almost 2 pounds; the leaves alone, off the stems, weighed in at about 13 oun...",Farro and Swiss Chard Salad With Grapefruit Vinaigrette,201401,0.5719,0.041,0.842,0.117
"Corrections appearing in print on January 1, 2014.","Corrections: January 1, 2014",201401,0,0,1,0
"Initially making her mark as a secretary at Sports Illustrated who knew horses, Ms. Ryan was among the first women to lead major publications.","Patricia Ryan, a Managing Editor at Time Inc., Dies at 75",201401,0,0,1,0
Simeon Hamilton announced himself as a possible medal contender for the Sochi Olympics by winning a men’s freestyle cross-country sprint in the Tour de Ski.,Hamilton Wins Sprint at Tour de Ski,201401,0.8271,0,0.662,0.338
"Canada beat the United States, 3-2, to win Group A in the world junior hockey tournament.",Canada Tops U.S. Juniors,201401,0.765,0,0.663,0.337
