snippet,headline__main,year_mo,compound,negative,neutral,positive
A women’s studies professor notes that some of those coerced to serve as prostitutes for Japanese soldiers in World War II were not yet adults.,Girls in Japan’s War Brothels,201601,-0.7506,0.218,0.782,0
"Police shootings should be necessary, not just “reasonable.”",A Better Standard for the Use of Deadly Force,201601,0,0,1,0
Readers react to a charge that the TV star drugged and sexually abused a Pennsylvania woman.,"After Many Accusations, Sex Assault Charge Against Bill Cosby",201601,-0.5106,0.202,0.798,0
"Quotation of the Day for Friday, January 1, 2016.",Quotation of the Day,201601,0,0,1,0
"Corrections appearing in print on Friday, January 1, 2016.","Corrections: January 1, 2016",201601,0,0,1,0
Villarreal midfielder Bruno Soriano scored with a free kick to earn a 1-0 win over visiting Valencia in the Spanish league.,Villarreal Controls Champions Spot,201601,0.7964,0,0.705,0.295
"Auston Matthews, who is expected to be the No. 1 pick in the N.H.L. draft, had a goal and an assist to lead the United States to a 4-1 victory over Denmark in the world junior hockey championship in Helsinki, Finland.",U.S. Tops Denmark at World Juniors,201601,0.5423,0.051,0.816,0.133
"The Los Angeles Dodgers agreed to terms with the Japanese right-hander Kenta Maeda, according to multiple reports.",Dodgers Sign a Top Japanese Pitcher,201601,0.2732,0,0.884,0.116
The lineup includes classics like “Them!” and proceeds with such light fare as “The Hangover” and “Blades of Glory.”,What to Watch Friday,201601,0.4199,0,0.866,0.134
"RATNER--Laura. Our hearts are saddened by the death of Laura, mother of our very dear friends Felice (Jay) and Dennis (Andrea). She lived a long life and is now at peace. We will miss her. Cheryl and Bill 1/3","Paid Notice: Deaths  RATNER, LAURA",201601,0.2195,0.176,0.632,0.193
"DEIN--Gittie Pfeffer. Dear sis, loved and remembered every day. Carol 1/3","Paid Notice: Memorials  DEIN, GITTIE PFEFFER",201601,0.7579,0,0.581,0.419
"ZARITSKY--Avrom. Former producer NBC News. Survived by wife, Joyce (Ship) children, Joshua and Eve. Funeral Sunday, 11am, Edwards Dowdle, 64 Ashford, Dobbs Ferry, NY. Donations to Michael J. Fox Foundation Parkinson's Research. 1/3","Paid Notice: Deaths  ZARITSKY, AVROM",201601,0.2023,0.068,0.842,0.09
"FLOOD--Charles Andrew, 77, died at his home in New York City on December 23 with his adored wife Kristin by his side. Born in New York City, Charlie was a graduate of Riverdale Country Day School and Amherst College. He spent his early investment ...","Paid Notice: Deaths  FLOOD, CHARLES ANDREW",201601,-0.2023,0.074,0.868,0.058
"METZGER--Phoebe, 95, of Boca Raton, FL; died peacefully and naturally at home on December 29. She was the devoted wife for 64 years of Bernard (deceased). Mother of Robert and Steven, sister of Enid Lee, and brother Marvin Goldstein (deceased). Sh...","Paid Notice: Deaths  METZGER, PHOEBE",201601,0.3612,0.075,0.797,0.128
"RICE--Margaret C.,on Friday, December 25, 2015. Beloved mother of the late Douglas B. Rice. Devoted mother-in-law of Denise V. Jones Rice and grandmother of Demetrius C. and David W. Rice. Services at Stewart Funeral Home, 4001 Benning Road NE, Wa...","Paid Notice: Deaths  RICE, MARGARET C.",201601,0.5423,0.055,0.813,0.132
"RATNER--Laura, on Decem- ber 30, 2015, formerly of Hewlett Harbor. Beloved wife of the late Arthur. Adored mother of Dennis and Andrea and Felice and Jay Seeman. Loving grandma of Allison, Rebecca and Andy, Ari and Brendon. Doting GG of Ethan, Lil...","Paid Notice: Deaths  RATNER, LAURA",201601,0.9175,0,0.746,0.254
KELLY--Ellsworth. The Board of Directors and the staff of the Foundation for Contemporary Arts notes with sorrow the passing of Ellsworth Kelly. His unique artistic vision and his consistent generosity were unparalleled examples of how one artist'...,"Paid Notice: Deaths  KELLY, ELLSWORTH",201601,0.2263,0.08,0.796,0.124
"KELLY--Ellsworth. Pratt Institute is saddened by the loss of one of the most defining abstract painters of our time, Ellsworth Kelly, who studied at the institution in the 1940s. Minimal in form, bold in color, and widely influential, Kelly's work...","Paid Notice: Deaths  KELLY, ELLSWORTH",201601,-0.0516,0.121,0.763,0.117
"DICKLER--Ruth. It is with deep sadness that we note the passing of Mrs. Ruth Dickler who first joined The Citizens Housing & Planning Council as a volunteer in 1962, where she began to build and shape our archival library. She was an important res...","Paid Notice: Deaths  DICKLER, RUTH",201601,-0.2732,0.065,0.895,0.04
"DWEK--Joe. On behalf of the entire New York-Presbyterian/Queens family, we are saddened by the passing of Joe Dwek, M.D., an admired and respected physician, who joined the staff at NewYork- Presbyterian/Queens (then Booth Memorial Hospital) in 19...","Paid Notice: Deaths  DWEK, JOE",201601,0.4588,0.078,0.776,0.146
"FREILICH--Dr. Gerald. Emeritus professor of mathematics at Queens College of SUNY who specialized in geometric measure theory, passed away on December 27th, 2015 at age 88. Professor Freilich was the author of several books and many research artic...","Paid Notice: Deaths  FREILICH, DR",201601,0,0,1,0
